cmc,power,toughness,race,ability,color
3,1,2,Merfolk,none,Blue
3,0,1,Mutant,none,Blue
4,2,3,Vampire,Flying,Black
2,1,2,Bat,Flying,Black
3,1,4,Zombie,none,Black
4,2,2,Spirit,none,Black
3,1,1,Shade,none,Black
2,2,2,Zombie,none,Black
5,3,4,Horror,none,Black
7,7,7,Demon,Flying,Black
5,3,3,Ogre,none,Black
7,5,4,Avatar,none,Black
1,1,1,Vampire,none,Black
3,2,2,Human,none,Black
6,3,3,Elemental,Flying,Black
4,3,2,Human,none,Black
1,1,1,Thrull,none,Black
3,2,3,Human,none,Black
2,1,1,Zombie,none,Black
2,1,2,Human,none,Red
4,2,2,Elemental,none,Red
3,3,4,Beast,none,Red
2,2,1,Human,none,Red
1,1,1,Goblin,none,Red
6,6,5,Dragon,Flying,Red
3,2,2,Goblin,none,Red
1,1,1,Goblin,Haste,Red
7,6,4,Avatar,Haste,Red
6,6,5,Lizard,Menace,Red
4,5,1,Elemental,none,Red
2,2,1,Goblin,none,Red
5,4,4,Giant,none,Red
4,3,1,Viashino,First strike,Red
3,2,3,Elemental,none,Red
5,3,3,Ogre,Double strike,Red
5,6,2,Lizard,none,Green
3,1,3,Crocodile,Reach,Green
4,4,3,Rhino,Trample,Green
2,2,2,Human,none,Green
1,1,1,Human,none,Green
7,7,7,Insect,Trample,Green
2,2,1,Elf,none,Green
2,1,2,Elf,none,Green
4,2,3,Elf,none,Green
5,4,5,Insect,none,Green
4,2,4,Centaur,none,Green
8,9,9,Beast,Trample,Green
3,3,2,Beast,none,Green
1,1,1,Elf,none,Green
7,6,8,Avatar,Reach,Green
1,1,2,Snake,Deathtouch,Green
3,1,4,Human,Vigilance,White
5,2,2,Bird,Flying,White
5,3,4,Human,none,White
3,3,1,Kor,none,White
3,3,2,Kor,none,White
6,5,5,Angel,Flying,White
2,1,3,Kor,Flying,White
5,3,3,Kor,none,White
2,2,2,Human,none,White
4,3,2,Kor,none,White
4,2,4,Human,none,White
5,2,4,Elemental,Flying,White
2,2,2,Kor,none,White
1,1,2,Kor,none,White
3,0,6,Wall,none,White
3,1,5,Crab,none,Blue
5,3,4,Elemental,Flying,Blue
5,3,3,Sphinx,Flying,Blue
7,5,5,Sphinx,Flying,Blue
2,2,1,Merfolk,Prowess,Blue
4,2,2,Vampire,none,Black
4,3,4,Vampire,Lifelink,Black
5,4,4,Vampire,none,Black
4,2,4,Vampire,none,Black
3,1,4,Vampire,Flying,Black
4,4,2,Human,none,Black
3,3,2,Human,none,Red
5,4,4,Hellion,Trample,Red
4,4,3,Elemental,Trample,Red
5,4,4,Goblin,Menace,Red
4,3,2,Goblin,Menace,Red
3,3,2,Ogre,none,Red
3,2,1,Goblin,Haste,Red
7,5,4,Dragon,Flying,Red
2,2,1,Goblin,First strike,Red
2,3,1,Beast,none,Green
6,6,5,Wurm,none,Green
5,4,4,Elemental,Vigilance,Green
7,6,6,Elf,none,Green
4,2,3,Troll,none,Green
2,1,3,Insect,none,Green
3,2,3,Spider,Reach,Green
4,3,1,Lizard,none,Green
4,3,4,Elemental,Reach,Green
2,2,3,Elf,Vigilance,Green
5,5,4,Elf,Vigilance,Green
5,4,4,Elemental,Flying,Blue
2,1,2,Atog,none,Red
1,1,1,Human,none,White
1,0,1,Bird,Flying,Green
2,2,2,Human,First strike,Black
4,3,3,Wraith,none,Black
4,0,0,Shapeshifter,none,Blue
5,2,4,Cockatrice,Flying,Green
6,6,4,Wurm,none,Green
6,5,5,Demon,none,Black
4,2,3,Dragon,Flying,Red
2,1,1,Skeleton,none,Black
3,1,1,Dwarf,none,Red
2,1,1,Dwarf,none,Red
5,4,5,Elemental,none,Red
3,1,1,Human,none,Black
2,2,1,Elf,First strike,Green
2,2,3,Human,none,Black
5,5,4,Elemental,none,Red
6,8,8,Elemental,Trample,Green
3,0,1,Shade,none,Black
4,2,2,Fungus,none,Green
6,*,*,Avatar,none,Green
4,2,4,Spider,Reach,Green
1,1,1,Goblin,none,Red
3,2,2,Goblin,none,Red
3,2,2,Gargoyle,Flying,Red
3,2,2,Ogre,none,Red
2,2,2,Bear,none,Green
4,3,3,Giant,none,Red
3,2,3,Minotaur,none,Red
3,2,2,Specter,Flying,Black
5,3,5,Treefolk,none,Green
7,6,8,Fish,none,Blue
4,*,*,Human,none,Red
1,1,1,Ape,none,Red
3,1,1,Human,none,Green
1,1,1,Elf,none,Green
2,2,2,Merfolk,none,Blue
7,7,7,Demon,Flying,Black
6,5,6,Djinn,Flying,Blue
1,1,1,Merfolk,none,Blue
2,1,1,Pegasus,Flying,White
3,6,3,Djinn,none,Red
1,1,1,Goblin,none,Red
2,1,1,Spirit,Haste,Black
3,1,1,Imp,none,Black
6,*,*,Nightmare,Flying,Black
4,3,3,Human,none,White
3,1,3,Orc,none,Red
3,2,2,Unicorn,none,White
6,6,6,Avatar,none,White
4,4,1,Illusion,Flying,Blue
4,3,3,Illusion,Flying,Blue
5,4,3,Human,none,Blue
3,*,*,Rat,none,Black
3,1,1,Human,none,Blue
4,3,3,Bird,Flying,Red
2,0,0,Hydra,none,Red
3,1,1,Human,none,Black
2,1,1,Human,none,White
1,2,1,Cat,none,White
3,2,2,Zombie,none,Black
4,2,2,Zombie,none,Black
1,1,1,Faerie,Flying,Green
6,5,5,Serpent,none,Blue
3,2,2,Troll,none,Red
5,4,4,Vampire,Flying,Black
3,3,4,Efreet,Flying,Blue
5,4,4,Angel,Flying,White
1,1,1,Nymph,none,Green
6,5,5,Dragon,Flying,Red
3,1,1,Human,none,Black
4,3,4,Giant,none,Red
5,2,4,Basilisk,none,Green
1,1,1,Wolf,none,Green
3,2,2,Troll,none,Red
3,0,2,Human,none,Green
5,0,0,Shapeshifter,none,Blue
5,2,5,Human,none,White
3,1,5,Wall,none,Blue
3,1,4,Skeleton,none,Black
3,2,3,Plant,none,Green
3,0,5,Wall,none,Red
3,0,7,Wall,none,Green
3,0,8,Wall,none,Red
4,3,5,Wall,Flying,White
3,0,5,Wall,none,Blue
1,0,3,Wall,none,Green
4,3,3,Elephant,Trample,Green
5,5,4,Elemental,none,Blue
2,2,2,Human,First strike,White
1,0,1,Spirit,Flying,Black
3,2,3,Zombie,none,Black
5,3,4,Wurm,none,Green
5,*,*,Spirit,Flying,Black
4,4,4,Hound,none,Red
4,4,4,Dragon,Flying,Red
6,4,3,Human,Haste,Red
4,2,2,Human,none,White
6,4,3,Human,Haste,Red
2,1,1,Merfolk,none,Blue
4,2,2,Zombie,none,Black
8,4,9,Avatar,Flying,White
7,4,5,Basilisk,none,Green
6,6,3,Nightmare,none,Black
5,3,3,Incarnation,Flying,White
6,4,4,Specter,Flying,Black
6,3,3,Beast,none,Green
5,3,4,Vampire,Flying,Black
6,5,5,Dragon,Flying,Red
6,5,4,Rat,none,Black
5,*,*,Spirit,none,White
7,1,1,Elf,none,Green
4,*,*,Zombie,none,Black
4,5,5,Elf,none,Green
4,3,3,Vampire,none,Black
6,6,6,Beast,Trample,Green
6,6,6,Giant,Vigilance,White
4,3,4,Human,none,White
7,6,6,Praetor,none,Black
5,3,3,Vampire,Flying,Black
2,1,1,Human,none,Green
2,3,3,Werewolf,none,Green
5,4,4,Demon,none,Black
6,3,6,Gorgon,Deathtouch,Black
6,3,3,Sliver,none,Green
6,6,6,Kraken,none,Blue
7,6,6,Demon,Flying,Black
4,4,5,Elemental,none,Red
5,4,5,Human,none,Green
7,4,6,Archon,Flying,White
6,4,5,Sphinx,Flying,Blue
7,6,4,Demon,Flying,Black
6,5,4,Dragon,Flying,Red
6,6,6,Hydra,none,Green
4,2,4,Human,Flying,White
7,6,6,Kraken,none,Blue
7,5,5,Dragon,Flying,Red
5,0,0,Hydra,none,Green
7,4,4,Angel,Flying,White
5,0,0,Shapeshifter,none,Blue
5,5,3,Demon,Flying,Black
7,5,5,Dragon,Flying,Red
6,7,2,Plant,none,Green
1,2,1,Human,none,Black
5,3,3,Human,Double strike,Red
3,3,2,Human,none,Black
1,1,2,Human,none,White
4,3,4,Bird,Flying,White
2,2,1,Goblin,none,Red
2,2,2,Human,none,White
9,4,5,Demon,Flying,Black
2,2,1,Human,none,Green
6,5,6,Elemental,Flying,Blue
3,3,2,Human,First strike,Red
5,5,4,Demon,Flying,Black
4,3,3,Orc,none,Black
4,0,0,Human,Vigilance,White
4,2,3,Human,none,White
5,3,3,Human,none,Red
3,2,2,Phoenix,Flying,Red
3,2,3,Human,none,Blue
3,3,2,Human,none,Black
6,4,5,Djinn,Prowess,Blue
7,5,5,Elephant,Reach,Green
4,4,2,Orc,Haste,Red
3,3,2,Human,Prowess,Blue
2,2,2,Human,Lifelink,White
6,4,4,Demon,none,Black
6,4,5,Human,none,Black
5,3,5,Elemental,Flying,Blue
1,1,1,Human,none,Green
3,4,2,Human,Trample,Green
2,2,2,Spirit,none,White
3,2,2,Human,Double strike,White
2,3,2,Avatar,Reach,Green
3,3,3,Orc,none,Black
3,0,6,Elemental,none,Red
7,5,6,Dragon,Flying,Black
2,2,1,Human,none,Green
7,4,5,Dragon,Flying,Green
2,2,1,Human,Lifelink,White
5,4,3,Dragon,Flying,Blue
2,2,1,Orc,Menace,Red
4,*,*,Avatar,none,Blue
3,5,3,Orc,none,Black
4,3,3,Naga,none,Blue
5,4,6,Zombie,Deathtouch,Black
2,2,1,Human,none,Black
2,2,1,Djinn,Flying,Blue
5,4,3,Dragon,Flying,White
4,5,4,Human,none,Green
4,4,4,Dragon,Flying,Red
1,2,2,Orc,none,Red
2,2,1,Human,Prowess,Red
7,5,5,Sphinx,Flying,Blue
3,2,2,Human,none,Red
2,3,1,Horror,none,Black
4,3,4,Elf,Reach,Green
5,4,5,Hellion,Trample,Red
7,8,5,Elemental,Haste,Green
5,4,3,Elf,Menace,Black
2,1,2,Goblin,none,Red
3,1,4,Human,Deathtouch,Black
2,2,2,Merfolk,none,Blue
5,4,4,Human,Flash,White
1,1,1,Human,none,Green
2,0,2,Human,none,Blue
2,2,2,Human,First strike,White
6,6,6,Demon,Flying,Black
4,4,3,Human,none,White
1,2,1,Human,none,White
3,2,3,Human,Lifelink,Black
3,1,1,Hydra,Trample,Green
3,1,4,Vedalken,Flash,Blue
3,2,2,Elf,none,Green
5,6,6,Giant,none,Green
4,2,2,Human,none,Red
5,2,2,Human,none,Black
2,2,2,Human,none,White
3,2,2,Human,Haste,Red
5,4,3,Djinn,Flying,Blue
3,2,1,Pegasus,Flying,White
5,2,3,Human,none,Blue
4,3,3,Phoenix,Flying,Red
6,4,4,Dragon,Flying,Red
2,1,1,Elf,Haste,Green
7,4,5,Vampire,Flying,Black
1,1,1,Human,none,Red
3,2,3,Vampire,Flying,Black
7,4,4,Angel,Flying,White
6,4,6,Cat,Vigilance,White
6,5,4,Elemental,none,Green
5,4,5,Sphinx,Flying,Blue
6,3,4,Vampire,Flying,Black
5,4,3,Human,none,White
3,3,2,Human,none,White
6,5,5,Hydra,Trample,Green
3,2,2,Elemental,none,Green
4,2,2,Elemental,Vigilance,Green
4,3,3,Goblin,none,Red
1,1,1,Illusion,Flying,Blue
1,2,2,Bear,none,Blue
2,1,1,Illusion,none,Blue
2,2,1,Vedalken,none,Blue
2,1,5,Illusion,none,Blue
2,*,*,Illusion,Flying,Blue
3,1,2,Merfolk,Flying,Blue
3,1,3,Human,none,Blue
3,2,2,Human,none,Blue
3,2,2,Human,none,Blue
4,1,2,Human,none,Blue
4,5,5,Dragon,Flying,Blue
5,0,0,Shapeshifter,none,Blue
5,5,5,Illusion,none,Blue
5,*,*,Avatar,none,Blue
5,2,2,Illusion,Flying,Blue
6,4,4,Fish,Flying,Blue
7,4,4,Illusion,Flying,Blue
1,1,1,Vampire,none,Black
1,1,1,Vampire,none,Black
2,2,2,Human,none,Black
2,1,1,Zombie,none,Black
2,2,2,Snake,none,Green
2,0,2,Plant,none,Green
2,2,1,Snake,none,Green
2,1,1,Plant,none,Green
3,3,1,Human,none,Black
3,2,2,Human,none,Black
3,1,3,Spider,Reach,Green
3,2,2,Elemental,Trample,Green
3,3,2,Crocodile,none,Green
3,1,3,Snake,none,Green
4,3,3,Human,none,Black
4,3,3,Boar,Trample,Green
4,3,3,Fungus,none,Green
4,2,2,Human,none,Black
4,2,1,Human,First strike,Black
5,2,2,Ooze,Deathtouch,Green
2,2,1,Human,none,Blue
3,2,2,Specter,Flying,Black
4,2,3,Specter,Flying,Black
2,1,1,Human,First strike,White
5,4,4,Elemental,Flying,Blue
2,1,1,Angel,Flying,White
4,2,2,Elf,none,Green
2,1,2,Pegasus,Flying,White
4,2,4,Drake,Flying,Blue
4,2,2,Spirit,none,White
4,2,1,Zombie,none,Black
4,2,2,Imp,Flying,Black
5,3,4,Wurm,none,Green
3,1,1,Human,none,Blue
1,1,1,Elf,none,Green
3,2,1,Insect,none,Red
3,3,2,Ape,none,Green
1,1,1,Human,none,White
4,*,1,Lhurgoyf,none,Green
4,4,1,Elemental,Haste,Red
1,1,1,Elf,none,Green
3,2,2,Jellyfish,none,Blue
1,1,1,Merfolk,none,Blue
2,1,2,Human,none,White
4,2,1,Human,First strike,Black
3,2,2,Zombie,none,Black
3,3,1,Insect,none,Green
5,3,3,Lizard,none,Green
3,1,1,Human,none,Blue
1,1,1,Goblin,Haste,Red
2,2,1,Snake,none,Green
3,1,2,Human,none,White
3,1,4,Human,none,White
8,7,6,Wurm,none,Green
1,1,1,Faerie,Flying,Green
4,2,2,Human,none,White
2,2,1,Elf,none,Green
5,4,4,Vampire,Flying,Black
1,1,1,Rat,none,Black
1,1,1,Elf,none,Green
1,1,1,Soltari,none,White
1,1,1,Human,none,White
1,1,1,Human,none,White
5,0,0,Spike,none,Green
3,0,0,Spike,none,Green
4,0,0,Spike,none,Green
3,0,0,Spike,none,Green
4,3,3,Elephant,none,Green
3,2,2,Troll,none,Red
1,1,1,Human,none,Green
3,2,6,Wall,none,Red
4,2,4,Efreet,none,Red
3,2,2,Drake,Flying,Blue
5,3,3,Angel,Flying,White
4,2,2,Bird,Flying,White
5,2,3,Bird,Flying,White
4,2,2,Human,none,White
4,1,4,Human,none,White
5,2,4,Angel,Flying,White
4,2,2,Spirit,none,White
2,1,1,Human,none,White
4,2,4,Human,none,White
2,2,2,Human,none,White
1,1,1,Human,none,White
1,1,1,Human,none,White
4,1,7,Spirit,none,White
2,2,2,Cat,Flying,White
4,3,3,Giant,none,White
2,1,2,Human,none,White
5,1,4,Human,none,White
4,1,5,Human,none,White
3,2,2,Human,First strike,White
3,2,1,Pegasus,First strike,White
2,1,1,Human,none,White
3,1,4,Human,none,White
1,2,1,Cat,none,White
4,2,2,Human,none,White
5,4,4,Angel,Flying,White
3,1,3,Cat,Flying,White
1,1,1,Human,none,White
1,1,1,Bird,Flying,White
3,2,2,Human,none,White
2,2,2,Human,Vigilance,White
1,1,1,Human,none,White
3,2,2,Human,none,White
5,4,4,Elemental,Flying,Blue
4,1,1,Human,none,Blue
4,2,2,Bird,Flying,Blue
5,3,3,Bird,Flying,Blue
4,2,4,Drake,Flying,Blue
4,0,0,Shapeshifter,none,Blue
3,1,1,Human,none,Blue
3,1,1,Human,none,Blue
4,1,5,Illusion,none,Blue
3,2,1,Illusion,Flying,Blue
1,1,1,Human,none,Blue
3,1,4,Turtle,none,Blue
2,4,4,Illusion,none,Blue
2,1,3,Human,none,Blue
6,5,6,Djinn,Flying,Blue
3,2,2,Illusion,none,Blue
3,1,2,Human,none,Blue
4,1,3,Bird,Flying,Blue
6,6,6,Serpent,none,Blue
2,1,2,Bird,Flying,Blue
3,1,1,Human,none,Blue
4,1,3,Bird,Flying,Blue
2,1,1,Human,none,Blue
8,6,6,Kraken,none,Blue
5,3,3,Drone,none,Blue
3,2,2,Drake,Flying,Blue
2,1,1,Imp,Flying,Black
4,3,3,Wraith,none,Black
4,2,2,Lizard,none,Black
2,1,1,Skeleton,none,Black
1,1,1,Zombie,none,Black
2,2,2,Imp,Flying,Black
4,4,2,Insect,none,Black
5,3,3,Zombie,none,Black
4,2,2,Zombie,none,Black
4,1,1,Horror,none,Black
4,2,2,Human,none,Black
5,3,3,Zombie,none,Black
3,2,2,Specter,Flying,Black
3,1,1,Shade,none,Black
3,2,2,Zombie,none,Black
4,4,3,Horror,none,Black
4,*,*,Lhurgoyf,none,Black
3,2,2,Zombie,none,Black
4,2,1,Human,First strike,Black
6,*,*,Nightmare,Flying,Black
6,4,4,Horror,none,Black
1,1,1,Insect,none,Black
2,1,1,Rat,none,Black
3,2,1,Rat,none,Black
3,1,1,Human,none,Black
3,2,2,Zombie,none,Black
5,4,4,Vampire,Flying,Black
3,3,3,Snake,none,Black
2,2,2,Zombie,none,Black
2,*,1,Rat,none,Black
1,0,1,Spirit,Flying,Black
6,6,6,Demon,First strike,Black
4,2,2,Minotaur,none,Red
5,2,2,Human,none,Red
3,3,2,Human,none,Red
8,6,6,Giant,none,Red
5,4,4,Beast,none,Red
3,2,2,Beast,none,Red
1,1,1,Goblin,none,Red
2,2,2,Goblin,none,Red
3,2,2,Goblin,Haste,Red
3,2,2,Goblin,none,Red
1,1,1,Goblin,none,Red
2,2,1,Goblin,none,Red
3,1,2,Goblin,Flying,Red
4,3,3,Giant,none,Red
5,3,3,Yeti,none,Red
1,1,1,Ape,none,Red
4,4,1,Elemental,Haste,Red
4,*,*,Lhurgoyf,Haste,Red
1,1,1,Goblin,none,Red
4,4,3,Ogre,none,Red
3,1,3,Orc,none,Red
1,1,1,Goblin,Haste,Red
4,5,5,Dragon,Flying,Red
2,1,1,Kavu,none,Red
4,0,3,Bird,none,Red
4,1,3,Human,First strike,Red
5,2,2,Phoenix,Flying,Red
6,5,5,Dragon,Flying,Red
6,5,5,Elemental,Haste,Red
3,4,2,Viashino,Haste,Red
3,2,1,Human,none,Red
4,3,3,Snake,none,Green
6,6,5,Ape,none,Green
6,6,4,Wurm,none,Green
5,2,4,Elf,none,Green
1,1,1,Elf,none,Green
3,2,2,Elf,none,Green
4,1,1,Elf,none,Green
2,2,3,Elf,none,Green
4,5,5,Crocodile,none,Green
6,8,8,Elemental,Trample,Green
4,2,4,Spider,Reach,Green
2,2,2,Bear,none,Green
1,1,1,Human,none,Green
4,6,6,Beast,none,Green
5,3,3,Kavu,none,Green
4,3,2,Cat,Flash,Green
3,1,1,Human,none,Green
5,4,4,Elemental,none,Green
1,1,1,Elf,none,Green
4,*,*,Elemental,none,Green
1,1,2,Elf,none,Green
4,4,3,Human,none,Green
4,3,3,Bear,none,Green
7,6,6,Wurm,Trample,Green
3,2,2,Lizard,none,Green
8,7,6,Wurm,none,Green
5,2,4,Spirit,none,Green
5,2,7,Spider,Reach,Green
3,3,3,Elephant,none,Green
1,1,1,Ape,Reach,Green
2,0,2,Plant,none,Green
8,7,7,Elemental,none,Green
3,0,2,Human,none,Green
3,2,2,Elf,none,Green
3,1,1,Elf,none,Green
3,2,2,Human,none,Green
2,2,1,Ape,none,Green
1,1,1,Human,none,White
2,2,1,Fish,none,Blue
4,3,3,Octopus,none,Blue
7,6,6,Rabbit,none,Blue
2,2,2,Goblin,none,Red
7,7,7,Beast,none,Green
5,5,4,Wurm,none,Green
2,2,2,Spirit,none,White
3,2,2,Human,Double strike,White
3,1,1,Bird,Double strike,White
5,2,3,Bird,Flying,White
4,3,2,Hound,Lifelink,White
1,2,1,Human,none,White
1,1,3,Human,none,White
3,1,1,Human,First strike,White
1,0,2,Human,none,White
2,3,1,Human,none,White
3,2,3,Human,none,White
2,2,2,Human,Vigilance,White
2,2,1,Human,Lifelink,White
2,2,1,Human,none,White
3,2,1,Kirin,Flying,White
4,4,4,Human,none,White
2,0,4,Bird,none,White
3,2,2,Human,none,White
5,3,4,Beast,none,White
6,3,3,Dragon,Flying,White
5,3,3,Human,none,White
4,2,4,Human,none,White
5,4,3,Dragon,Flying,White
2,1,3,Bird,Flying,White
5,2,5,Fish,none,Blue
6,3,3,Dragon,Flying,Blue
6,6,5,Serpent,none,Blue
2,1,3,Human,none,Blue
1,1,1,Salamander,none,Blue
4,2,4,Naga,none,Blue
5,4,3,Dragon,Flying,Blue
4,*,*,Avatar,none,Blue
4,3,2,Djinn,none,Blue
4,3,1,Bird,Flying,Blue
2,1,1,Bird,Flying,Blue
4,3,3,Naga,none,Blue
2,0,4,Naga,none,Blue
3,3,3,Elemental,none,Blue
1,0,4,Naga,none,Blue
3,2,1,Human,Flash,Blue
3,2,3,Naga,none,Blue
2,2,1,Djinn,Flying,Blue
3,1,4,Elemental,Flying,Blue
4,2,2,Human,none,Blue
3,2,1,Human,none,Blue
6,3,3,Dragon,Flying,Black
3,2,2,Orc,none,Black
3,3,3,Orc,none,Black
2,2,2,Human,none,Black
7,5,6,Dragon,Flying,Black
3,1,2,Human,none,Black
2,2,1,Human,Deathtouch,Black
2,2,2,Human,none,Black
2,1,1,Skeleton,none,Black
6,4,6,Zombie,none,Black
3,2,3,Human,none,Black
3,5,3,Orc,none,Black
2,1,3,Human,none,Black
5,3,6,Cat,none,Black
3,2,2,Imp,Flying,Black
4,4,3,Zombie,none,Black
1,1,1,Zombie,none,Black
3,2,3,Zombie,none,Black
5,4,6,Zombie,Deathtouch,Black
2,2,1,Human,none,Black
5,3,3,Zombie,none,Black
4,2,5,Snake,Deathtouch,Black
4,2,3,Bird,Flying,Black
4,1,6,Zombie,none,Black
4,5,1,Efreet,none,Red
5,4,5,Ogre,none,Red
3,0,6,Elemental,none,Red
2,2,2,Human,none,Red
2,1,3,Goblin,none,Red
3,3,2,Human,none,Red
2,2,1,Orc,Menace,Red
2,2,1,Human,none,Red
3,*,3,Human,Trample,Red
1,1,1,Human,Haste,Red
1,1,1,Human,none,Red
3,5,5,Ogre,none,Red
4,4,2,Human,Trample,Red
3,2,3,Orc,none,Red
5,5,4,Ogre,none,Red
6,5,5,Elemental,Trample,Red
6,3,3,Dragon,Flying,Red
4,4,3,Yeti,none,Red
4,4,4,Dragon,Flying,Red
4,3,3,Orc,none,Red
1,2,2,Orc,none,Red
4,3,4,Hound,Reach,Green
3,4,1,Hound,none,Green
2,2,1,Hound,none,Green
2,2,2,Human,none,Green
2,3,2,Avatar,Reach,Green
4,2,4,Human,Vigilance,Green
3,2,4,Beast,none,Green
4,5,1,Elemental,Hexproof,Green
3,3,3,Lizard,Deathtouch,Green
2,2,1,Human,none,Green
3,3,2,Bear,none,Green
7,4,5,Dragon,Flying,Green
2,3,3,Elemental,none,Green
2,2,1,Human,none,Green
6,3,3,Dragon,Flying,Green
5,3,5,Cat,none,Green
4,3,3,Hound,none,Green
3,1,1,Human,none,Green
5,2,2,Hound,none,Green
2,2,3,Human,none,Green
6,6,5,Insect,none,Green
1,0,0,Human,none,Green
3,2,3,Human,none,Green
5,5,5,Elk,none,Green
4,5,4,Human,none,Green
6,4,6,Human,none,White
3,1,1,Human,none,White
7,5,6,Angel,Flying,White
7,4,7,Praetor,Vigilance,White
2,2,2,Cleric,none,White
2,2,1,Cat,none,White
4,4,2,Elephant,none,White
4,1,1,Human,none,White
2,2,2,Human,none,White
5,1,1,Artificer,none,White
5,3,3,Angel,Flying,White
5,2,3,Bird,Flying,White
2,1,1,Cleric,none,White
2,1,1,Human,none,Blue
6,5,5,Horror,none,Blue
7,5,7,Sphinx,Flying,Blue
3,1,4,Cleric,Flash,Blue
4,3,1,Bird,Flying,Blue
10,5,4,Praetor,Flash,Blue
7,3,3,Beast,none,Blue
5,3,3,Drake,Flash,Blue
4,1,4,Drake,Flying,Blue
4,1,1,Human,none,Blue
3,2,2,Human,none,Black
7,6,6,Vampire,Flying,Black
5,2,2,Bat,Flying,Black
4,2,2,Cleric,none,Black
4,2,2,Hound,none,Black
4,5,5,Horror,Trample,Black
5,2,5,Horror,none,Black
7,6,6,Praetor,none,Black
6,4,1,Zombie,none,Black
3,1,1,Specter,Flying,Black
7,5,5,Giant,none,Red
4,1,1,Human,none,Red
6,6,4,Insect,none,Red
1,1,1,Beast,none,Red
5,3,2,Insect,none,Red
4,0,4,Ogre,none,Red
3,2,1,Human,none,Red
3,2,1,Boar,First strike,Red
1,*,*,Construct,none,Red
4,2,2,Cleric,none,Red
5,4,4,Praetor,none,Red
3,3,2,Human,none,Red
6,3,3,Cleric,none,Green
7,6,7,Beast,Vigilance,Green
2,2,2,Snake,none,Green
1,1,1,Elf,none,Green
4,2,3,Elf,none,Green
7,1,1,Human,none,Green
2,2,2,Human,none,Green
3,2,2,Horror,none,Green
6,4,4,Insect,none,Green
5,3,6,Beast,none,Green
6,3,4,Beast,none,Green
3,3,1,Elf,none,Green
4,1,1,Human,none,Green
8,7,6,Praetor,Trample,Green
7,5,6,Angel,Flying,White
7,5,5,Giant,Vigilance,White
7,6,6,Angel,Flying,White
8,7,7,Elemental,none,White
4,2,2,Human,none,White
2,4,4,Giant,none,White
4,2,4,Angel,Flying,White
2,1,1,Human,none,White
1,1,1,Human,none,White
5,4,4,Angel,Flying,White
5,3,3,Angel,Flying,White
1,1,1,Human,none,White
4,2,2,Angel,Flying,White
2,0,4,Wall,none,White
4,2,3,Spirit,Flying,White
6,4,4,Elemental,none,Blue
5,3,3,Crab,none,Blue
4,4,4,Sphinx,Flying,Blue
3,1,3,Vedalken,Vigilance,Blue
4,2,2,Spirit,none,Blue
2,0,2,Wall,none,Blue
3,0,3,Jellyfish,none,Blue
3,1,3,Jellyfish,none,Blue
5,2,2,Elemental,Flying,Blue
3,1,4,Homunculus,none,Blue
7,6,6,Fish,none,Blue
8,6,6,Leviathan,Trample,Blue
3,1,1,Vedalken,none,Blue
4,2,2,Incarnation,Flying,Blue
8,6,5,Avatar,none,Black
7,5,4,Vampire,Flying,Black
6,3,3,Horror,Flying,Black
10,8,8,Demon,none,Black
6,5,5,Demon,Flying,Black
5,3,3,Angel,Flying,Black
3,3,1,Zombie,none,Black
4,2,2,Zombie,none,Black
4,*,*,Lhurgoyf,none,Black
3,2,2,Zombie,none,Black
2,2,1,Rat,none,Black
2,4,2,Rat,none,Black
7,6,6,Spirit,none,Black
4,4,5,Demon,none,Black
8,6,6,Demon,Flying,Black
6,4,4,Specter,Flying,Black
4,*,*,Horror,none,Black
5,3,2,Elemental,none,Black
3,2,3,Vampire,Deathtouch,Black
8,6,6,Angel,Flying,Red
4,2,2,Incarnation,Haste,Red
8,6,6,Avatar,Flying,Red
8,8,8,Avatar,none,Red
6,4,4,Cat,none,Red
4,2,3,Dragon,Flying,Red
7,4,4,Elemental,Trample,Red
4,4,2,Kavu,none,Red
4,2,2,Dragon,Flying,Red
1,2,1,Goblin,none,Red
8,7,7,Elemental,none,Red
6,5,5,Dragon,Flying,Red
6,6,5,Demon,Haste,Red
6,5,4,Eldrazi,Trample,Red
6,6,1,Elemental,none,Red
5,2,2,Ooze,Deathtouch,Green
2,0,0,Spider,none,Green
6,4,4,Beast,none,Green
4,3,3,Incarnation,Trample,Green
2,1,2,Spider,Deathtouch,Green
6,3,6,Treefolk,none,Green
6,4,5,Elf,none,Green
3,2,1,Human,none,Green
3,0,0,Elemental,none,Green
3,1,1,Elf,none,Green
7,2,2,Insect,Deathtouch,Green
6,8,8,Hydra,none,Green
7,6,5,Boar,none,Green
4,*,1,Lhurgoyf,none,Green
1,1,1,Human,none,Green
4,2,4,Spider,Reach,Green
2,1,1,Snake,none,Green
2,2,2,Ooze,none,Green
3,2,2,Elemental,Trample,Green
3,0,0,Spike,none,Green
4,3,3,Monger,none,Green
8,7,7,Wurm,none,Green
3,3,2,Troll,Hexproof,Green
1,1,1,Human,none,Green
3,2,1,Human,none,Green
5,3,4,Gargoyle,Flying,White
4,2,3,Specter,Flying,Black
5,4,4,Elemental,Flying,Blue
8,8,4,Giant,none,White
5,3,1,Human,First strike,Red
3,2,1,Human,none,Green
4,2,2,Human,Trample,White
2,1,2,Atog,none,Red
4,2,3,Aurochs,Trample,Green
2,1,1,Human,none,White
